″	inch
%	percent
amu	atomic mass unit
atm	atmosphere
au	astronomical unit
bar	bar
bq	becquerel
c	celsius
cc	cubic centimetre
ccm cubic centimetre
cd	candela
cm	centimeter
cm2	square centimeter
cm²	square centimeter
cm3	cubic centimetre
cm³	cubic centimetre
cwt	hundredweight
da	dalton
da	deci ampere
db	decibel
dm	deci meter
dm3	cubic deci meter
dm³	cubic deci meter
ds	deci second
ev	electron volt
f	fahrenheit
ft	foot
g	gram
gb	gigabyte
ghz	gigahertz
gl	giga liter
gpa	giga pascal
gw	gigawatt
gwh	giga watt hour
gy	gray
h	hour
ha	hectare
hl	hecto liter
hp	horsepower
hr	hour
hs	hecto second
hz	hertz
kb	kilobit
kb	kilobyte
kbps	kilobit per second
kcal	kilo calory
kg	kilogram
kgf	kilogram force
khz	kilohertz
kl	kilo liter
km	kilometer
km2	square kilometer
km²	square kilometer
kn	kilonewton
kpa	kilopascal
kt	knot
kv	kilo volt
kw	kilowatt
kwh	kilo watt hour
lb	pound
lbs	pound
lbs.	pound
lm	lumen
m	meter
m2	square meter
m²	square meter
m3	cubic meter
m³	cubic meter
ma	mega ampere
mA	milli ampere
mb	megabit
mb	megabyte
mbps	megabit per second
mc	mega coulomb
mf	mega farad
mg	milligram
mhz	megahertz
mi	mile
min	minute
ml	milliliter
mm	millimeter
mm2	square millimeter
mm²	square millimeter
mol	mole
mpa	megapascal
mph	mile per hour
ms	mega second
ms	mega siemens
ms	milli second
mv	mega volt
mv	milli volt
mw	megawatt
ng	nano gram
nm	nanometer
ns	nanosecond
oz	ounce
pa	pascal
pb	petabit
pb	peta byte
pg	petagram
ps	peta second
rad	radian
rpm	revolution per minute
s	second
sq ft	square foot
sq mi	square mile
sv	sievert
tb	terabyte
tj	tera joule
tl	tera liter
tw	tera watt
v	volt
V	volt
yd	yard
μg	microgram
μm	micrometer
μs	microsecond
ω	ohm
%	percent